SerialNo,PartyID,SymbolID,SymbolName,PoliticalPartyName,DistrictCd,DistrictName,StateID,SCConstID,CenterConstID,OrderID,TotalVoteReceived
1,1,2598,सुर्य,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1,,1,0,1,1,11345
2,2,2583,रुख,नेपाली काँग्रेस,1,,1,0,1,2,9643
3,34,2501,अँजुलीमा रहेको माटो,श्रम संस्कृति पार्टी,1,,1,0,1,34,8698
4,4,2528,घण्टी,राष्ट्रिय स्वतन्त्र पार्टी,1,,1,0,1,4,6495
5,3,2557,पाँचकुने तारा,नेपाली कम्युनिष्ट पार्टी,1,,1,0,1,3,5214
6,26,2550,दाप सहितको खुकुरी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,1,,1,0,1,26,510
7,5,2604,हलो,राष्ट्रिय प्रजातन्त्र पार्टी,1,,1,0,1,5,415
8,24,2568,बाँसुरी,राष्ट्रिय परिवर्तन पार्टी,1,,1,0,1,24,302
9,38,2526,गोलो घेराभित्र दुई पात भएको गुलाफको फूल,नेपाल कम्युनिस्ट पार्टी (माओवादी),1,,1,0,1,38,119
10,6,2542,ढल्केको छाता,"जनता समाजवादी पार्टी, नेपाल",1,,1,0,1,6,117
11,50,2531,चकिया (जाँतो),"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",1,,1,0,1,50,116
12,39,2520,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,सार्वभौम नागरिक पार्टी,1,,1,0,1,39,83
13,49,2591,षटकोण,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",1,,1,0,1,49,80
14,40,2605,हात मिलाएको,राष्ट्रिय जनमुक्ति पार्टी,1,,1,0,1,40,67
15,20,2529,घर,नेपाल जनमुक्ति पार्टी,1,,1,0,1,20,57
16,47,2558,पाँचमुखे रुद्राक्षको दाना,राष्ट्रिय गौरव पार्टी,1,,1,0,1,47,56
17,13,2511,कुखुराको भाले,मंगोल नेशनल अर्गनाइजेशन,1,,1,0,1,13,49
18,12,2553,दुई हात जोडेको नमस्कार,नेपाल लोकतान्त्रिक पार्टी,1,,1,0,1,12,48
19,7,2585,लाउड स्पिकर,जनमत पार्टी,1,,1,0,1,7,34
20,17,2602,हँसिया र तारा,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),1,,1,0,1,17,32
21,57,2540,डुङ्‌गा,जन अधिकार पार्टी,1,,1,0,1,57,29
22,44,2582,रथ,प्रजातान्त्रिक पार्टी नेपाल,1,,1,0,1,44,28
23,16,2541,डोको,नेपाल जनता संरक्षण पार्टी,1,,1,0,1,16,26
24,11,2516,खुलेको एकल आँखा,प्रगतिशील लोकतान्त्रिक पार्टी,1,,1,0,1,11,23
25,18,2507,कमलको फूल,नेपाल जनता पार्टी,1,,1,0,1,18,16
26,27,2548,"तुलसी, मठ",राष्ट्रिय एकता दल,1,,1,0,1,27,16
27,15,2555,पञ्जा छाप,नेपाल सद्‍भावना पार्टी,1,,1,0,1,15,14
28,19,2521,गितार,संयुक्त नागरिक पार्टी,1,,1,0,1,19,14
29,29,2579,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,नेपाली जनश्रमदान संस्कृति पार्टी,1,,1,0,1,29,13
30,33,2510,काखमा बच्चा लिएको आमा,जय मातृभूमि पार्टी,1,,1,0,1,33,13
31,30,2524,गोलाकार भित्र शङ्‌ख,नेपालका लागि नेपाली पार्टी,1,,1,0,1,30,11
32,53,2590,श्रीवत्स समृद्धिको प्रतीक,समावेशी समाजवादी पार्टी,1,,1,0,1,53,11
33,45,2565,बलिरहेको दियो,नेपाल मातृभूमि पार्टी,1,,1,0,1,45,10
34,42,2595,सिट्ठी,नेपाली जनता दल,1,,1,0,1,42,9
35,22,2551,दायाँ हातले समातेको मसाल,राष्ट्रिय जनता पार्टी नेपाल,1,,1,0,1,22,9
36,9,2578,मादल,नेपाल मजदुर किसान पार्टी,1,,1,0,1,9,9
37,23,2572,भित्ते घडी,समावेशी समाजवादी पार्टी नेपाल,1,,1,0,1,23,8
38,55,2552,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,पिपुल फर्ष्ट पार्टी,1,,1,0,1,55,8
39,14,2536,जग,बहुजन शक्ति पार्टी,1,,1,0,1,14,7
40,46,2567,बस,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),1,,1,0,1,46,6
41,48,2509,करूवा,नेपाली काँग्रेस (वी.पी.),1,,1,0,1,48,6
42,37,2530,घोडा,मितेरी पार्टी नेपाल,1,,1,0,1,37,5
43,21,2601,हँसिया,नेपाल कम्युनिष्ट पार्टी (संयुक्त),1,,1,0,1,21,5
44,28,2571,ब्याट्री,गतिशील लोकतान्त्रिक पार्टी,1,,1,0,1,28,5
45,54,2581,मोबाइल,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),1,,1,0,1,54,5
46,10,2522,गिलास,राष्ट्रिय जनमोर्चा,1,,1,0,1,10,4
47,51,2527,गोलो घेराभित्र पानीको बोतल,राष्ट्र निर्माण दल नेपाल,1,,1,0,1,51,3
48,32,2504,उडिरहेको माहुरी,नेशनल रिपब्लिक नेपाल,1,,1,0,1,32,3
49,25,2523,गैँती,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),1,,1,0,1,25,3
50,35,2569,बाली बोकेको महिलाको आकृति,स्वाभिमान पार्टी,1,,1,0,1,35,3
51,41,2534,चापाकल (ट्‍युवेल),"राष्ट्रिय उर्जाशील पार्टी, नेपाल",1,,1,0,1,41,3
52,56,2537,जगर भएको सिंह,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),1,,1,0,1,56,3
53,31,2564,बज्र,जनप्रिय लोकतान्त्रिक पार्टी,1,,1,0,1,31,2
54,52,2515,खुला किताब,उन्‍नत लोकतन्त्र पार्टी,1,,1,0,1,52,1
55,43,2505,ओदान,त्रिमुल नेपाल,1,,1,0,1,43,1
56,36,2549,त्रिशुल,"नागरिक शक्ति, नेपाल",1,,1,0,1,36,1
57,58,2574,भैँसी,"जनता लोकतान्त्रिक पार्टी, नेपाल",1,,1,0,1,58,0
1084,34,2501,अँजुलीमा रहेको माटो,श्रम संस्कृति पार्टी,10,,1,0,1,34,32230
1085,4,2528,घण्टी,राष्ट्रिय स्वतन्त्र पार्टी,10,,1,0,1,4,30369
1086,1,2598,सुर्य,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),10,,1,0,1,1,7087
1087,2,2583,रुख,नेपाली काँग्रेस,10,,1,0,1,2,4992
1088,3,2557,पाँचकुने तारा,नेपाली कम्युनिष्ट पार्टी,10,,1,0,1,3,3928
1089,5,2604,हलो,राष्ट्रिय प्रजातन्त्र पार्टी,10,,1,0,1,5,2448
1090,24,2568,बाँसुरी,राष्ट्रिय परिवर्तन पार्टी,10,,1,0,1,24,1326
1091,50,2531,चकिया (जाँतो),"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",10,,1,0,1,50,334
1092,26,2550,दाप सहितको खुकुरी,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,10,,1,0,1,26,266
1093,6,2542,ढल्केको छाता,"जनता समाजवादी पार्टी, नेपाल",10,,1,0,1,6,217
1094,9,2578,मादल,नेपाल मजदुर किसान पार्टी,10,,1,0,1,9,206
1095,47,2558,पाँचमुखे रुद्राक्षको दाना,राष्ट्रिय गौरव पार्टी,10,,1,0,1,47,199
1096,40,2605,हात मिलाएको,राष्ट्रिय जनमुक्ति पार्टी,10,,1,0,1,40,188
1097,16,2541,डोको,नेपाल जनता संरक्षण पार्टी,10,,1,0,1,16,171
1098,39,2520,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,सार्वभौम नागरिक पार्टी,10,,1,0,1,39,118
1099,29,2579,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,नेपाली जनश्रमदान संस्कृति पार्टी,10,,1,0,1,29,114
1100,49,2591,षटकोण,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10,,1,0,1,49,109
1101,13,2511,कुखुराको भाले,मंगोल नेशनल अर्गनाइजेशन,10,,1,0,1,13,75
1102,11,2516,खुलेको एकल आँखा,प्रगतिशील लोकतान्त्रिक पार्टी,10,,1,0,1,11,74
